Delivery_person_Age,Delivery_person_Ratings,distance,Time_taken_min
37,4.9,3.0251492856773803,24
34,4.5,20.18352972873287,33
23,4.4,1.552757802255354,26
38,4.7,7.790401360105807,21
32,4.6,6.210137965623703,30
22,4.8,4.610365144356333,26
33,4.7,16.600361127913082,40
35,4.6,20.20525323529313,32
22,4.8,19.97552008622187,34
36,4.2,10.280582064622465,46
21,4.7,6.242318682700942,23
23,4.7,13.787860239172238,21
34,4.3,2.930257800762021,20
24,4.7,19.39661829066188,41
29,4.5,13.7639772244273,20
35,4.0,6.218001190187312,33
33,4.2,16.849939918016943,40
34,4.9,10.757108800258177,41
21,4.7,4.540574388730574,15
25,4.1,12.25607644546856,36
31,4.7,19.61873934880106,26
37,5.0,1.5581322655562495,20
33,4.3,20.18063511411397,39
25,4.0,6.116971669681921,34
29,4.5,17.075594401072465,15
27,5.0,4.47028648943395,18
35,4.3,13.682044526080338,38
32,4.0,13.97318265391717,47
23,4.8,16.85361872985407,12
31,4.8,4.674172124263596,26
36,4.1,7.601616771071131,22
26,4.3,7.720324413180035,21
38,4.9,6.1756362610176,25
32,3.5,17.29786575291325,35
32,4.6,19.91468696554527,30
33,4.9,10.724517748045963,22
20,4.7,6.127835452843913,10
20,4.8,1.5203573134015247,19
35,5.0,3.0734537599374083,11
26,4.9,3.10513147754577,11
22,4.8,10.86742683448041,28
35,4.3,10.865464603780303,33
29,4.6,12.23672361659882,33
37,4.7,13.682516298591963,49
28,4.6,16.826241648658563,22
37,4.9,3.0272369309751475,16
23,4.9,9.175193844437285,11
27,4.9,9.315069177421467,25
37,4.8,6.209021101535329,26
33,5.0,1.5203447277394997,18
31,4.9,6.037225392444489,16
31,4.8,17.078665498349924,23
25,5.0,4.717601092054723,15
28,4.8,12.464329297636857,36
31,4.7,9.12142598198074,16
24,4.7,14.02323208308413,19
39,4.6,13.392612276663751,27
39,4.2,12.58026782240096,49
32,4.5,1.4899271643867569,20
36,4.7,9.435201537430713,30
25,4.8,11.916582838287257,18
33,4.9,4.663566689152346,22
30,4.4,10.641157729337486,34
33,5.0,16.818368923733058,24
36,4.9,6.128551257918874,17
21,4.8,2.996250036666747,14
39,4.9,7.342175722857832,30
23,4.8,3.145067434621583,15
35,4.8,6.290134677634678,16
39,4.6,13.972123977178397,36
22,4.7,6.0814407970077005,18
32,4.6,6.080891507841841,17
24,4.8,12.58026782240096,15
29,4.7,3.145067434621583,17
29,4.6,6.210589610313767,19
26,4.7,9.220373067021596,10
20,4.5,7.862668167410368,27
35,4.1,13.969606427684226,37
39,4.6,13.97320677313832,44
34,4.7,6.058853851668898,28
27,4.7,17.07799287216156,42
30,4.8,17.29786575291325,25
25,4.4,17.07287190639919,39
25,4.7,16.818368923733058,20
30,5.0,2.9795028505763823,31
24,4.6,9.22086597503729,13
39,4.8,7.66133113422064,28
25,4.8,6.175516093406556,19
37,4.6,12.209856560906877,42
24,5.0,1.5526813140975844,23
25,4.2,16.902806732498597,39
32,4.6,1.5093577696342253,25
34,4.7,6048.631240095335,15
38,4.9,3.0251186390180176,15
36,4.8,13.407092693002165,15
25,5.0,16.721976048741656,15
29,5.0,7.772343594464188,18
36,4.7,13.773737657079211,29
33,4.7,7.790158927085036,20
36,4.4,6.217834398579603,39
21,4.8,16.852834881459735,19
25,4.8,4.610035602261126,19
23,4.8,19.87987067737402,17
25,4.6,1.5580833985943423,15
24,4.3,3.0253327061731827,19
27,4.6,13.971948960174704,29
23,4.8,16.830905551931515,22
21,4.3,20.20779793335838,42
27,4.7,3.040641621538215,12
32,4.2,20.253785359470157,38
25,4.6,16.721296009802852,23
39,4.7,2.984550789786577,15
27,4.6,12.161450531436996,24
39,3.8,16.822155609316784,37
31,4.8,7.762556904358387,24
31,4.8,9.055855161965688,13
20,4.8,1.5545816630915406,16
36,4.9,12.074047498027545,42
20,4.9,13.58037387628081,17
24,4.6,4.469620875558469,25
29,4.6,16.65983831917015,25
39,4.2,16.634870118211385,39
37,4.8,6.232139486668676,18
32,4.9,6.209021101535329,28
22,4.5,7.460830127736771,18
23,4.9,20.253785359470157,18
33,4.7,16.60097570059501,49
23,4.6,4.5403213728916425,15
27,4.6,12.421212735966272,21
34,4.7,6.118711846690412,23
26,5.0,1.5204319479995732,11
31,4.6,9.087972744660556,25
32,4.9,3.064487105761538,18
27,4.7,3.025144329113472,14
21,4.9,13.97320677313832,36
28,4.8,7.7631027847272,18
24,4.9,6.290134677634678,17
33,4.4,1.5368503798527686,28
20,4.6,13.973177561576213,44
31,4.3,9.34840352266177,20
29,4.6,4.596576884052145,19
36,5.0,10.602467987619454,35
31,4.2,17.076258901182708,49
39,4.1,9.22083460710919,34
29,4.6,12.161605446009546,17
29,4.6,6.08088296759392,23
37,4.9,4.674143698976654,27
33,4.7,6.290134677634678,26
31,3.9,10.70900337153546,35
37,4.6,6.290134677634678,41
26,4.4,9.314884732862104,23
24,4.6,17.137482577838096,30
23,4.8,3.145067434621583,19
36,4.9,1.5725337292863206,27
39,4.8,6.218002348694166,28
20,4.7,12.463883024166927,24
20,5.0,20.2065815105083,36
29,4.3,9.081116432460677,28
36,4.8,17.138077427627362,31
36,4.0,13.63134369814336,44
22,4.8,12.074063090453254,15
38,4.4,10.72326417216742,33
39,4.9,7.600994631258499,30
24,4.9,7.562982485199944,22
30,4.1,11.00773476374462,43
35,4.8,13.829314445199008,48
33,4.5,13.969116967729818,19
39,4.7,10.923267458246295,21
